x1,x2,y1,y2,mask
259,59,309,111,FALSE
342,111,392,158,FALSE
249,221,537,653,TRUE
537,164,626,268,TRUE
14,3,614,438,TRUE
5,3,433,496,TRUE
439,8,715,439,TRUE
147,207,281,366,TRUE
248,56,410,251,TRUE
444,117,584,300,TRUE
257,74,728,623,TRUE
805,124,1079,542,TRUE
1030,30,1726,969,TRUE
2011,430,2124,661,TRUE
556,259,655,407,FALSE
931,187,1069,370,TRUE
551,187,694,378,TRUE
340,230,450,370,TRUE
1059,193,1124,308,TRUE
162,21,273,204,TRUE
455,78,492,118,TRUE
387,1,625,243,TRUE
113,138,422,619,TRUE
354,8,452,132,TRUE
809,18,892,134,TRUE
12,81,127,228,TRUE
249,4,507,325,TRUE
440,178,715,575,TRUE
142,5,314,198,TRUE
366,81,620,392,TRUE
16,115,256,399,TRUE
334,8,901,541,TRUE
218,81,351,244,TRUE
210,5,448,266,TRUE
198,35,371,285,FALSE
255,138,417,334,TRUE
543,19,685,190,TRUE
116,5,526,539,TRUE
438,206,506,285,TRUE
332,185,530,469,FALSE
611,202,789,462,FALSE
102,33,515,597,TRUE
397,33,560,221,TRUE
233,2,577,373,FALSE
783,64,953,261,TRUE
225,0,400,185,TRUE
373,0,497,182,TRUE
99,88,196,200,FALSE
918,31,1036,166,TRUE
315,153,441,363,TRUE
60,7,538,489,TRUE
10,102,374,526,TRUE
80,9,223,186,TRUE
750,67,1254,668,FALSE
248,6,489,348,TRUE
208,99,263,174,TRUE
369,0,400,49,TRUE
241,45,446,267,FALSE
624,11,978,459,TRUE
174,115,381,402,FALSE
407,32,927,765,FALSE
369,126,414,189,TRUE
313,101,377,190,TRUE
267,6,406,147,TRUE
204,136,665,726,FALSE
161,45,301,236,FALSE
94,5,403,400,TRUE
232,6,321,120,FALSE
447,61,529,174,TRUE
184,171,251,258,TRUE
301,125,373,214,TRUE
63,15,560,597,TRUE
333,157,508,372,FALSE
203,65,485,431,TRUE
171,103,381,306,TRUE
98,58,489,521,TRUE
13,6,287,285,TRUE
557,106,697,266,TRUE
696,168,763,262,FALSE
493,41,816,417,TRUE
0,65,208,440,TRUE
478,9,1357,1007,TRUE
344,64,558,247,TRUE
1339,1131,1813,1710,FALSE
1872,949,2311,1534,FALSE
3181,612,3862,1534,FALSE
91,158,316,447,TRUE
231,164,414,446,TRUE
6,11,261,470,TRUE
317,11,583,325,TRUE
422,4,957,519,TRUE
387,130,525,321,TRUE
140,30,513,510,TRUE
242,208,296,279,TRUE
232,179,342,309,TRUE
765,150,847,255,TRUE
40,23,392,461,TRUE
365,60,516,272,TRUE
363,47,551,323,FALSE
110,36,482,487,TRUE
253,8,549,427,TRUE
129,29,681,822,FALSE
417,353,458,395,TRUE
532,335,627,426,TRUE
384,312,418,358,FALSE
680,340,759,427,TRUE
355,100,460,243,TRUE
572,97,658,213,TRUE
618,153,830,401,TRUE
142,65,384,355,FALSE
428,291,550,477,TRUE
31,302,152,424,FALSE
273,236,457,444,TRUE
248,71,615,535,TRUE
56,6,389,382,TRUE
165,3,620,536,TRUE
902,175,1171,506,TRUE
555,78,795,386,TRUE
884,241,1078,468,TRUE
185,248,353,448,TRUE
244,56,441,282,TRUE
337,328,581,654,FALSE
682,523,922,797,FALSE
1053,557,1295,846,FALSE
1390,568,1574,812,FALSE
1690,561,1896,816,FALSE
1968,561,2196,778,FALSE
2320,613,2526,861,FALSE
2680,478,2893,748,FALSE
301,87,341,150,TRUE
155,88,213,156,TRUE
86,85,153,176,TRUE
367,88,452,189,TRUE
306,223,356,260,FALSE
487,98,515,132,FALSE
363,2,1017,601,TRUE
209,57,413,303,FALSE
538,34,852,328,FALSE
44,211,335,620,TRUE
105,110,378,499,TRUE
404,47,835,637,TRUE
157,62,837,1079,TRUE
404,157,472,237,TRUE
499,2,708,184,FALSE
409,272,468,340,TRUE
295,85,347,159,TRUE
393,144,444,204,TRUE
83,181,189,291,TRUE
275,144,411,315,TRUE
435,58,544,195,TRUE
408,13,554,181,TRUE
75,29,354,436,FALSE
364,46,550,295,TRUE
94,46,309,327,TRUE
2232,567,3864,2699,FALSE
776,757,1871,2225,FALSE
66,82,410,521,TRUE
280,54,605,459,TRUE
159,207,542,679,FALSE
379,20,525,197,TRUE
561,67,686,203,TRUE
383,20,523,195,TRUE
558,67,691,204,TRUE
156,29,270,177,TRUE
93,7,641,610,TRUE
222,46,288,130,FALSE
207,63,339,240,TRUE
107,46,424,424,TRUE
390,0,445,85,TRUE
151,151,224,229,FALSE
73,245,215,362,TRUE
208,145,242,189,FALSE
254,166,298,204,FALSE
538,46,566,93,FALSE
190,39,237,93,FALSE
213,20,415,311,TRUE
450,36,614,284,FALSE
93,0,620,601,TRUE
346,20,503,216,TRUE
155,182,249,298,TRUE
323,137,547,470,TRUE
274,151,349,243,TRUE
208,91,268,180,TRUE
439,114,514,205,TRUE
108,171,238,315,TRUE
496,141,525,243,TRUE
217,371,269,424,FALSE
138,188,284,371,TRUE
125,0,332,210,TRUE
204,296,588,754,FALSE
391,317,425,350,TRUE
67,325,97,364,FALSE
219,163,296,250,TRUE
333,65,388,118,TRUE
39,146,74,191,TRUE
460,174,515,258,TRUE
269,125,294,163,TRUE
0,142,28,176,TRUE
139,92,548,593,FALSE
146,23,264,177,FALSE
336,138,640,530,TRUE
69,5,353,264,TRUE
82,213,385,654,TRUE
680,8,838,223,TRUE
403,51,489,152,TRUE
112,4,455,441,TRUE
366,75,418,152,TRUE
179,49,242,130,TRUE
8,0,303,327,TRUE
221,32,316,161,TRUE
623,44,1090,635,FALSE
361,58,434,143,TRUE
580,41,655,127,TRUE
451,57,525,134,TRUE
147,87,230,201,TRUE
244,133,301,217,TRUE
5,145,63,264,TRUE
31,2,157,134,FALSE
185,6,613,410,TRUE
405,0,1237,859,FALSE
352,35,493,211,FALSE
403,178,439,222,TRUE
658,9,1144,660,TRUE
79,66,200,162,TRUE
518,44,582,113,TRUE
581,54,636,132,TRUE
472,109,549,188,TRUE
736,81,820,199,FALSE
809,44,858,99,FALSE
314,49,506,299,TRUE
791,0,4360,3062,FALSE
128,1,521,551,TRUE
503,151,598,303,TRUE
14,4,514,607,TRUE
182,0,541,547,TRUE
331,115,371,219,TRUE
571,5,676,110,TRUE
603,19,901,471,TRUE
210,41,467,352,TRUE
1365,415,1500,879,TRUE
307,115,364,197,FALSE
199,245,248,324,FALSE
226,1,264,43,FALSE
144,10,179,53,FALSE
89,9,131,64,FALSE
91,2,693,616,TRUE
158,90,214,175,TRUE
354,22,619,354,FALSE
312,223,694,728,TRUE
544,6,639,74,TRUE
316,11,398,123,TRUE
353,31,617,271,TRUE
392,312,577,494,TRUE
273,153,456,372,FALSE
680,72,857,289,FALSE
1016,59,1204,308,FALSE
228,183,339,339,TRUE
614,78,737,250,TRUE
251,111,321,195,TRUE
83,70,131,135,TRUE
452,86,482,161,TRUE
249,24,291,87,TRUE
12,0,415,427,TRUE
148,1,608,545,TRUE
413,12,530,181,FALSE
357,26,469,192,TRUE
186,170,300,306,TRUE
378,41,858,535,TRUE
134,32,245,183,TRUE
210,78,243,122,TRUE
115,107,151,149,TRUE
60,18,422,460,TRUE
127,5,627,608,TRUE
402,97,520,237,TRUE
240,208,286,270,TRUE
547,51,634,167,TRUE
469,81,537,186,TRUE
122,184,186,268,TRUE
1,95,59,212,TRUE
431,149,458,227,TRUE
54,127,385,632,TRUE
267,34,448,250,FALSE
323,11,685,475,FALSE
393,126,674,420,TRUE
91,0,345,377,TRUE
262,7,647,468,TRUE
752,39,841,153,FALSE
283,172,377,291,FALSE
216,92,387,320,TRUE
586,9,740,189,TRUE
83,28,232,196,TRUE
647,479,837,717,FALSE
625,23,883,356,FALSE
240,110,375,266,TRUE
486,81,613,244,TRUE
338,79,434,211,TRUE
254,101,338,232,TRUE
156,105,275,260,TRUE
0,21,177,250,TRUE
163,155,499,590,TRUE
768,77,862,192,FALSE
512,152,593,246,FALSE
238,59,368,186,FALSE
4,27,157,210,FALSE
157,254,334,446,FALSE
612,193,738,314,FALSE
103,79,209,207,TRUE
388,77,532,271,TRUE
600,271,872,478,TRUE
82,8,467,425,TRUE
572,126,887,531,TRUE
123,6,527,524,TRUE
111,0,357,274,TRUE
82,103,377,455,FALSE
204,11,694,402,TRUE
200,90,254,169,TRUE
184,87,377,288,FALSE
400,11,506,161,FALSE
107,142,254,284,TRUE
294,123,448,306,TRUE
241,200,318,294,TRUE
320,64,420,202,TRUE
33,73,502,669,TRUE
248,47,485,356,FALSE
798,52,1084,402,FALSE
147,8,567,478,TRUE
210,11,613,548,TRUE
2,1,727,810,TRUE
211,405,331,568,FALSE
300,44,714,486,TRUE
1269,293,3558,2944,FALSE
307,19,890,753,FALSE
92,49,418,526,TRUE
114,26,495,583,TRUE
165,12,254,98,TRUE
1559,124,4342,3301,TRUE
321,62,391,160,TRUE
346,84,446,225,TRUE
47,116,160,242,FALSE
722,91,826,216,FALSE
328,100,433,237,FALSE
308,134,551,446,TRUE
1130,1205,1875,2038,TRUE
95,154,401,619,TRUE
250,49,383,213,TRUE
212,104,259,168,TRUE
27,72,89,140,TRUE
461,214,524,295,FALSE
79,9,422,413,TRUE
363,200,652,616,TRUE
255,3,517,354,TRUE
199,264,571,682,FALSE
230,37,331,172,TRUE
165,72,478,400,TRUE
6,6,249,380,TRUE
243,242,338,400,TRUE
319,230,386,295,TRUE
581,235,645,324,TRUE
593,437,693,577,TRUE
428,8,483,67,TRUE
324,45,373,103,TRUE
197,42,242,91,TRUE
317,156,358,223,TRUE
9,0,67,64,TRUE
125,130,365,447,TRUE
1,68,635,859,FALSE
52,34,383,503,TRUE
376,42,467,164,FALSE
158,1,899,619,TRUE
225,77,456,430,TRUE
456,80,781,494,TRUE
157,468,286,607,FALSE
23,195,155,336,FALSE
381,264,456,354,FALSE
853,297,939,406,FALSE
974,330,1054,411,FALSE
51,1,609,611,TRUE
601,110,1314,1155,TRUE
746,182,3084,2662,TRUE
149,8,458,328,FALSE
682,132,755,220,TRUE
570,95,648,189,TRUE
403,80,482,175,TRUE
256,90,328,179,TRUE
127,102,455,530,TRUE
213,58,506,406,FALSE
463,250,528,335,TRUE
208,126,258,194,TRUE
244,113,340,251,TRUE
170,13,285,177,FALSE
365,102,491,264,TRUE
157,70,371,311,TRUE
665,123,750,236,TRUE
198,52,283,169,TRUE
88,225,253,413,FALSE
392,278,562,506,FALSE
705,116,995,430,FALSE
203,6,645,436,TRUE
249,5,356,134,TRUE
261,327,339,423,FALSE
1050,51,1613,691,TRUE
264,263,776,830,TRUE
22,162,297,499,TRUE
288,183,487,455,TRUE
161,47,495,520,TRUE
693,56,855,264,FALSE
61,6,463,508,TRUE
22,22,635,821,FALSE
318,42,457,249,FALSE
523,177,640,315,TRUE
120,180,228,309,TRUE
1330,557,1663,902,TRUE
2607,753,2958,1187,TRUE
269,43,646,498,TRUE
493,53,885,592,FALSE
386,79,489,203,TRUE
167,19,493,439,TRUE
1140,41,1823,956,FALSE
478,32,593,186,FALSE
591,23,777,184,FALSE
303,95,489,317,TRUE
333,385,381,456,FALSE
567,38,732,210,FALSE
421,89,539,207,FALSE
211,5,578,490,TRUE
501,51,573,140,TRUE
506,37,594,125,TRUE
416,55,550,254,TRUE
271,17,559,436,TRUE
202,123,246,184,TRUE
271,125,318,186,FALSE
143,162,169,202,FALSE
100,143,116,159,FALSE
64,144,79,160,FALSE
89,168,114,194,FALSE
0,117,125,357,TRUE
112,160,254,397,TRUE
408,109,503,238,TRUE
701,74,870,280,FALSE
137,26,556,567,TRUE
217,110,469,419,FALSE
225,5,481,312,TRUE
126,19,418,385,FALSE
187,73,410,344,FALSE
154,5,469,386,TRUE
292,2,405,145,FALSE
593,6,719,154,FALSE
898,6,1017,147,FALSE
321,6,491,210,FALSE
226,3,698,484,TRUE
251,135,730,667,TRUE
323,1,522,227,FALSE
205,71,345,235,FALSE
26,223,83,301,TRUE
76,182,135,256,TRUE
191,194,254,270,TRUE
281,203,340,278,TRUE
363,198,420,284,TRUE
418,210,463,269,TRUE
631,95,777,256,FALSE
330,195,540,392,TRUE
266,49,582,409,FALSE
129,47,276,262,TRUE
78,9,347,334,FALSE
374,81,440,160,TRUE
405,233,457,291,TRUE
148,111,188,156,TRUE
9,98,57,156,TRUE
142,23,476,455,TRUE
764,136,985,445,TRUE
977,32,1363,591,TRUE
87,34,538,447,TRUE
309,101,449,253,TRUE
370,0,559,235,TRUE
88,32,485,539,TRUE
243,44,521,400,FALSE
170,50,542,546,TRUE
103,10,468,418,TRUE
655,14,957,459,TRUE
214,94,567,468,TRUE
413,29,532,173,TRUE
364,111,498,279,TRUE
2645,116,3280,925,FALSE
422,25,503,123,TRUE
192,1,318,197,TRUE
165,42,250,154,FALSE
322,89,381,175,FALSE
507,130,589,214,FALSE
614,163,646,195,FALSE
140,6,304,174,TRUE
405,166,565,378,TRUE
331,253,391,321,TRUE
158,323,174,339,TRUE
441,330,448,340,TRUE
248,4,391,219,TRUE
592,37,831,328,TRUE
497,239,574,326,TRUE
327,17,457,171,FALSE
163,26,480,458,TRUE
297,16,359,103,TRUE
506,11,577,85,TRUE
237,97,466,435,TRUE
6,112,205,363,TRUE
24,201,107,307,TRUE
97,230,170,331,TRUE
316,266,373,335,TRUE
173,270,218,336,TRUE
328,174,394,252,TRUE
412,25,815,608,TRUE
91,3,508,568,TRUE
219,19,404,299,FALSE
77,122,226,344,FALSE
387,446,452,517,FALSE
435,82,642,323,TRUE
680,340,1664,1784,FALSE
409,59,564,287,TRUE
260,133,484,426,FALSE
96,28,403,353,TRUE
463,15,973,524,FALSE
97,116,196,241,TRUE
327,107,398,207,FALSE
509,230,592,356,TRUE
538,96,588,192,FALSE
305,111,335,150,TRUE
710,240,926,572,FALSE
263,33,391,181,TRUE
138,11,697,642,FALSE
373,15,546,199,TRUE
520,68,657,231,TRUE
304,37,471,210,TRUE
57,135,212,321,TRUE
173,0,540,402,TRUE
210,269,700,918,TRUE
820,30,1480,785,TRUE
230,7,632,312,TRUE
426,57,531,196,TRUE
275,5,722,534,TRUE
106,113,131,149,TRUE
173,122,208,162,TRUE
337,118,371,154,TRUE
244,126,277,165,TRUE
259,65,422,247,FALSE
637,15,831,256,FALSE
470,204,741,551,FALSE
156,56,303,281,FALSE
471,98,585,231,FALSE
586,116,731,307,TRUE
259,78,369,206,TRUE
454,7,559,149,TRUE
624,5,740,142,TRUE
88,91,204,211,TRUE
777,98,811,214,TRUE
64,0,539,590,FALSE
100,109,239,292,TRUE
180,69,370,336,TRUE
430,85,581,242,TRUE
174,8,697,485,TRUE
1507,188,2197,989,FALSE
348,4,744,528,TRUE
315,2,739,529,TRUE
303,218,552,489,FALSE
207,143,272,228,TRUE
301,103,383,202,TRUE
420,309,495,400,TRUE
3460,33,4737,1798,TRUE
82,180,357,432,TRUE
0,9,77,301,TRUE
318,8,416,161,TRUE
1519,1148,2521,2666,TRUE
135,285,163,319,TRUE
400,282,415,304,TRUE
374,44,510,215,TRUE
254,145,412,371,TRUE
330,96,492,315,FALSE
574,143,745,377,FALSE
924,418,1016,563,FALSE
269,142,369,274,TRUE
513,0,621,114,FALSE
186,102,261,195,FALSE
778,99,1338,793,TRUE
86,0,519,443,TRUE
149,107,191,168,FALSE
213,123,270,197,FALSE
315,130,368,197,FALSE
374,97,415,162,FALSE
397,164,458,240,FALSE
512,133,559,196,FALSE
610,162,653,226,FALSE
646,123,687,180,FALSE
669,165,725,226,FALSE
758,116,808,188,FALSE
159,48,403,322,TRUE
752,10,1016,319,FALSE
234,1,359,146,TRUE
35,204,292,532,TRUE
1,122,110,299,TRUE
61,135,334,455,TRUE
78,64,397,503,TRUE
364,256,604,576,TRUE
298,48,388,164,TRUE
212,50,413,324,TRUE
408,186,682,585,TRUE
186,70,291,232,TRUE
373,13,484,157,TRUE
481,57,575,160,TRUE
560,166,610,227,FALSE
244,87,458,310,TRUE
119,88,213,199,TRUE
450,97,537,267,FALSE
271,23,436,290,TRUE
266,68,469,352,TRUE
352,38,526,228,TRUE
156,91,245,211,FALSE
81,68,543,514,TRUE
16,88,157,264,TRUE
84,3,575,600,TRUE
745,130,851,267,FALSE
1021,172,1153,304,FALSE
155,132,238,227,TRUE
528,44,614,173,TRUE
378,100,427,165,TRUE
317,215,350,262,FALSE
178,112,535,582,TRUE
353,20,686,428,FALSE
212,4,584,508,TRUE
166,26,530,501,TRUE
1,2,286,305,TRUE
87,2,515,519,TRUE
276,6,363,111,TRUE
329,43,518,275,FALSE
324,215,768,846,FALSE
590,1,763,185,FALSE
354,116,549,374,TRUE
106,47,532,547,TRUE
94,4,535,543,TRUE
210,162,531,569,FALSE
183,28,358,261,TRUE
695,54,777,170,FALSE
611,5,1009,516,FALSE
240,21,303,113,FALSE
300,112,422,248,TRUE
280,160,330,222,TRUE
184,188,228,240,TRUE
94,175,130,224,TRUE
462,243,508,294,TRUE
459,173,486,215,TRUE
30,181,51,215,TRUE
115,8,572,598,TRUE
41,27,346,445,FALSE
149,4,264,140,FALSE
405,77,618,317,FALSE
414,23,580,269,FALSE
272,135,358,234,FALSE
156,129,269,320,FALSE
390,127,540,283,FALSE
1578,1376,2153,1870,TRUE
111,15,249,170,FALSE
3,14,128,349,TRUE
240,252,288,297,FALSE
352,253,377,289,FALSE
433,255,463,294,FALSE
4,0,835,625,TRUE
101,40,251,266,TRUE
412,29,464,229,TRUE
233,20,518,414,FALSE
255,78,346,193,TRUE
1243,150,1593,465,TRUE
22,3,453,491,TRUE
517,259,585,352,FALSE
557,368,614,447,FALSE
555,452,637,556,FALSE
666,453,743,560,FALSE
636,312,705,405,FALSE
697,329,731,398,FALSE
741,320,810,401,FALSE
802,306,857,386,FALSE
893,293,961,375,FALSE
434,309,493,385,FALSE
438,455,539,531,FALSE
349,545,422,642,FALSE
225,445,312,556,FALSE
76,434,191,544,FALSE
80,373,133,445,FALSE
116,329,199,419,FALSE
231,354,300,431,FALSE
343,317,399,406,FALSE
400,339,448,406,FALSE
517,302,619,430,FALSE
186,145,454,517,TRUE
54,418,86,459,FALSE
661,473,686,498,FALSE
150,40,328,290,TRUE
499,59,673,327,TRUE
127,19,191,89,TRUE
325,171,391,252,TRUE
5,245,64,310,TRUE
185,30,546,493,FALSE
300,6,537,318,FALSE
112,6,451,354,TRUE
1442,274,1613,478,TRUE
65,9,506,579,TRUE
368,65,507,225,FALSE
328,174,370,259,FALSE
2,169,47,259,FALSE
766,301,908,473,TRUE
102,5,542,369,TRUE
209,150,544,579,TRUE
430,38,535,201,TRUE
713,71,796,184,TRUE
115,230,327,465,FALSE
292,175,404,329,FALSE
1229,123,1490,401,FALSE
82,52,411,462,TRUE
192,445,280,546,TRUE
172,4,587,588,TRUE
1181,237,1692,831,FALSE
4,67,278,382,TRUE
463,82,622,299,TRUE
592,32,691,154,TRUE
94,43,282,321,TRUE
305,140,509,357,TRUE
88,8,498,612,TRUE
839,611,1994,2139,TRUE
139,60,428,426,TRUE
375,76,473,199,FALSE
215,311,654,847,FALSE
146,0,472,363,FALSE
222,129,518,522,TRUE
253,4,485,310,FALSE
31,62,254,336,FALSE
62,74,439,529,TRUE
306,22,675,541,TRUE
385,43,502,195,FALSE
85,0,390,466,TRUE
136,176,400,529,TRUE
114,91,176,165,FALSE
367,158,418,225,FALSE
179,134,216,183,FALSE
418,104,467,169,FALSE
476,123,535,196,FALSE
170,7,580,545,TRUE
496,7,750,387,FALSE
991,287,1099,453,FALSE
1324,456,1458,613,FALSE
96,257,147,326,TRUE
250,275,296,338,TRUE
282,248,308,274,FALSE
356,268,379,289,FALSE
354,74,470,201,TRUE
379,83,539,265,TRUE
5,130,194,392,TRUE
373,17,505,211,FALSE
157,294,356,514,FALSE
374,201,541,455,FALSE
406,10,648,249,TRUE
118,4,357,325,TRUE
718,154,761,205,TRUE
401,162,469,242,TRUE
153,118,224,205,TRUE
307,134,351,178,FALSE
470,113,884,572,FALSE
258,76,502,440,TRUE
66,517,394,903,FALSE
261,127,666,639,FALSE
54,87,297,397,TRUE
710,188,1086,625,TRUE
650,90,705,173,TRUE
358,84,424,181,TRUE
89,6,179,109,TRUE
208,48,352,208,FALSE
391,108,667,504,TRUE
693,157,740,210,TRUE
647,148,689,194,TRUE
600,134,638,173,TRUE
551,116,583,156,TRUE
351,107,388,144,TRUE
269,98,314,148,TRUE
188,101,220,139,TRUE
141,96,182,149,TRUE
1,132,21,178,TRUE
27,108,61,153,TRUE
106,92,137,134,TRUE
430,115,458,152,TRUE
496,136,518,163,TRUE
474,108,555,227,TRUE
202,152,289,270,TRUE
669,110,723,229,TRUE
339,5,459,116,TRUE
130,23,233,142,TRUE
228,183,397,379,TRUE
308,17,745,688,FALSE
129,229,372,530,TRUE
79,64,268,319,TRUE
428,6,630,273,TRUE
312,31,589,399,TRUE
191,248,278,357,TRUE
180,55,626,630,FALSE
480,144,636,350,TRUE
95,158,294,376,TRUE
367,50,503,220,TRUE
583,82,730,266,TRUE
131,104,483,563,TRUE
421,43,625,299,FALSE
255,106,460,328,FALSE
653,3,848,249,FALSE
426,177,588,364,TRUE
316,15,568,371,TRUE
205,77,289,180,TRUE
40,87,118,195,TRUE
274,0,330,35,TRUE
418,2,471,48,TRUE
162,3,462,309,TRUE
117,110,157,163,TRUE
197,100,243,163,TRUE
342,33,400,111,TRUE
